"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"1. Авторизация пользователя
2. Переход в ленту заказов
3. Сохранение значения счётчика ""Выполнено за всё время""
4. Возврат в конструктор и создание заказа через UI
5. Повторный переход в ленту заказов
6. Проверка, что счётчик увеличился","12779","После создания заказа счётчик ""Выполнено за всё время"" увеличивается","tests","2025-12-01","passed","2025-12-01","TestOrderFeed","test_order_creation","",""
"
        Проверка открытия всплывающего окна с деталями ингредиента:
        1. Открыть главную страницу
        2. Кликнуть на ингредиент
        3. Проверить, что модальное окно с деталями открылось
        ","3126","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2025-12-01","passed","2025-12-01","TestMainPageFunctionality","test_main_page_functionality","",""
"1. Открыть главную страницу
2. Кликнуть по ингредиенту
3. Убедиться, что модальное окно открылось
4. Закрыть модальное окно по крестику
5. Убедиться, что модальное окно закрыто","4199","Закрытие модального окна ингредиента по крестику","tests","2025-12-01","passed","2025-12-01","TestIngredientModal","test_ingredient_modal_close","",""
"
        Проверка перехода по клику на раздел «Лента заказов»:
        1. Открыть главную страницу
        2. Кликнуть по разделу «Лента заказов»
        3. Проверить, что страница ленты заказов загрузилась
        ","2970","Переход по клику на раздел «Лента заказов»","tests","2025-12-01","passed","2025-12-01","TestMainPageFunctionality","test_main_page_functionality","",""
"1. Авторизация пользователя
2. Переход в ленту заказов
3. Сохранение значения счётчика ""Выполнено за сегодня""
4. Возврат в конструктор и создание заказа через UI
5. Повторный переход в ленту заказов
6. Проверка, что дневной счётчик увеличился","12609","После создания заказа счётчик ""Выполнено за сегодня"" увеличивается","tests","2025-12-01","passed","2025-12-01","TestOrderFeed","test_order_creation","",""
"
        Проверка перехода по клику на «Конструктор»:
        1. Открыть главную страницу
        2. Перейти в «Ленту заказов»
        3. Вернуться на главную по клику на «Конструктор»
        4. Проверить, что пользователь не находится в ленте заказов
        ","3099","Переход по клику на «Конструктор»","tests","2025-12-01","passed","2025-12-01","TestMainPageFunctionality","test_main_page_functionality","",""
"
        Проверка перехода по клику на «Конструктор»:
        1. Открыть главную страницу
        2. Перейти в «Ленту заказов»
        3. Вернуться на главную по клику на «Конструктор»
        4. Проверить, что пользователь не находится в ленте заказов
        ","3830","Переход по клику на «Конструктор»","tests","2025-12-01","passed","2025-12-01","TestMainPageFunctionality","test_main_page_functionality","",""
"1. Авторизация пользователя
2. Создание заказа через UI с главной страницы (конструктор)
3. Переход в ленту заказов через шапку
4. Проверка, что номер заказа присутствует в блоке ""В работе""","13455","После оформления заказа его номер появляется в разделе ""В работе""","tests","2025-12-01","passed","2025-12-01","TestOrderFeed","test_order_creation","",""
"
        Проверка открытия всплывающего окна с деталями ингредиента:
        1. Открыть главную страницу
        2. Кликнуть на ингредиент
        3. Проверить, что модальное окно с деталями открылось
        ","2928","Если кликнуть на ингредиент, появится всплывающее окно с деталями","tests","2025-12-01","passed","2025-12-01","TestMainPageFunctionality","test_main_page_functionality","",""
"1. Авторизация пользователя
2. Переход в ленту заказов
3. Сохранение значения счётчика ""Выполнено за всё время""
4. Возврат в конструктор и создание заказа через UI
5. Повторный переход в ленту заказов
6. Проверка, что счётчик увеличился","13063","После создания заказа счётчик ""Выполнено за всё время"" увеличивается","tests","2025-12-01","passed","2025-12-01","TestOrderFeed","test_order_creation","",""
"1. Авторизация пользователя
2. Создание заказа через UI с главной страницы (конструктор)
3. Переход в ленту заказов через шапку
4. Проверка, что номер заказа присутствует в блоке ""В работе""","13350","После оформления заказа его номер появляется в разделе ""В работе""","tests","2025-12-01","passed","2025-12-01","TestOrderFeed","test_order_creation","",""
"
        Проверка перехода по клику на раздел «Лента заказов»:
        1. Открыть главную страницу
        2. Кликнуть по разделу «Лента заказов»
        3. Проверить, что страница ленты заказов загрузилась
        ","3107","Переход по клику на раздел «Лента заказов»","tests","2025-12-01","passed","2025-12-01","TestMainPageFunctionality","test_main_page_functionality","",""
"
        Проверка увеличения счётчика ингредиента:
        1. Открыть главную страницу
        2. Запомнить текущее значение счётчика ингредиента
        3. Перетащить ингредиент в область конструктора
        4. Проверить, что значение счётчика увеличилось
        ","6079","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","tests","2025-12-01","passed","2025-12-01","TestMainPageFunctionality","test_main_page_functionality","",""
"1. Авторизация пользователя
2. Переход в ленту заказов
3. Сохранение значения счётчика ""Выполнено за сегодня""
4. Возврат в конструктор и создание заказа через UI
5. Повторный переход в ленту заказов
6. Проверка, что дневной счётчик увеличился","12922","После создания заказа счётчик ""Выполнено за сегодня"" увеличивается","tests","2025-12-01","passed","2025-12-01","TestOrderFeed","test_order_creation","",""
"1. Открыть главную страницу
2. Кликнуть по ингредиенту
3. Убедиться, что модальное окно открылось
4. Закрыть модальное окно по крестику
5. Убедиться, что модальное окно закрыто","4129","Закрытие модального окна ингредиента по крестику","tests","2025-12-01","passed","2025-12-01","TestIngredientModal","test_ingredient_modal_close","",""
"
        Проверка увеличения счётчика ингредиента:
        1. Открыть главную страницу
        2. Запомнить текущее значение счётчика ингредиента
        3. Перетащить ингредиент в область конструктора
        4. Проверить, что значение счётчика увеличилось
        ","6643","При добавлении ингредиента в заказ счётчик этого ингредиента увеличивается","tests","2025-12-01","passed","2025-12-01","TestMainPageFunctionality","test_main_page_functionality","",""
